time,bull_ratio_1,bull_ratio_0,bull_ratio_2,bull_amount_0,bull_amt_change_2,bull_amount_2,bull_amt_change_1,lock_price_change_1,bull_amount_1,bull_amt_change_0,lock_price_change_2,bull_ratio_change_0,total_amount_2,bull_ratio_change_2,total_amount_0,bull_ratio_change_1,total_amount_1
2023-03-12 05:30:20.533000000,1.78,7.39,1.59,1.78092,0.79,3.65597,2.38,0.9994,8.70574,0.2,1.001,4.15,9.8868,0.77,2.05956,1.12,19.81866
2023-03-12 05:35:28.834000000,1.6,10.4,1.78,4.42708,2.38,8.70574,0.49,0.99979,4.24928,1.04,0.9994,6.5,19.81866,1.12,4.89612,0.9,11.29168
2023-03-12 05:40:32.165000000,1.84,6.0,1.6,3.03763,0.49,4.24928,2.75,1.00114,11.70438,0.26,0.99979,3.26,11.29168,0.9,3.64539,1.15,25.59244
2023-03-12 05:45:37.591000000,2.19,1.64,1.84,0.97283,2.75,11.70438,0.92,0.99975,10.77475,0.09,1.00114,0.75,25.59244,1.15,2.49692,1.19,19.81128
2023-03-12 05:50:40.976000000,1.92,1.2,2.19,1.24166,0.92,10.77475,1.26,0.99883,13.52904,0.09,0.99975,0.62,19.81128,1.19,7.35944,0.88,28.30473
2023-03-12 05:55:47.308000000,1.81,1.67,1.92,1.43969,1.26,13.52904,0.56,0.99818,7.52546,0.19,0.99883,0.92,28.30473,0.88,3.58906,0.94,16.81206
2023-03-12 06:00:50.521000000,1.71,3.7,1.81,1.40482,0.56,7.52546,0.56,0.99957,4.1971,0.33,0.99818,2.16,16.81206,0.94,1.9249,0.94,10.14414
2023-03-12 06:05:52.886000000,1.94,1.97,1.71,2.03493,0.56,4.1971,2.56,1.00182,10.73921,0.19,0.99957,1.02,10.14414,0.94,4.12367,1.13,22.1999
2023-03-12 06:10:55.305000000,2.14,2.55,1.94,1.22847,2.56,10.73921,1.86,1.00061,19.98985,0.06,1.00182,1.19,22.1999,1.13,2.01965,1.1,37.53307
2023-03-12 06:16:02.691000000,2.61,9.75,2.14,3.93413,1.86,19.98985,0.3,0.99815,6.05773,0.65,1.00061,3.74,37.53307,1.1,4.38377,1.22,9.81551
2023-03-12 06:21:05.350000000,1.88,4.18,2.61,3.23086,0.3,6.05773,1.12,1.00096,6.81141,0.47,0.99815,2.22,9.81551,1.22,4.24543,0.72,14.52068
2023-03-12 06:26:11.225000000,2.73,1.42,1.88,0.63378,1.12,6.81141,1.37,1.0,9.36301,0.07,1.00096,0.52,14.52068,0.72,2.13519,1.45,14.79071
2023-03-12 06:31:15.039000000,1.68,6.3,2.73,3.14747,1.37,9.36301,0.61,1.00004,5.71342,0.55,1.0,3.75,14.79071,1.45,3.74135,0.62,14.13251
2023-03-12 06:36:16.550000000,1.63,1.56,1.68,0.70395,0.61,5.71342,1.02,1.00075,5.81281,0.12,1.00004,0.96,14.13251,0.62,1.95477,0.97,15.10474
2023-03-12 06:41:20.768000000,2.21,1.16,1.63,0.64135,1.02,5.81281,1.48,0.99858,8.6206,0.07,1.00075,0.52,15.10474,0.97,4.75052,1.36,15.75416
2023-03-12 06:46:23.360000000,2.33,1.56,2.21,2.76457,1.48,8.6206,2.11,0.99932,18.19339,0.15,0.99858,0.67,15.75416,1.36,7.67837,1.05,31.90188
2023-03-12 06:51:28.746000000,1.98,2.65,2.33,2.97088,2.11,18.19339,0.4,1.00014,7.29533,0.41,0.99932,1.34,31.90188,1.05,4.76845,0.85,14.71793
2023-03-12 06:56:35.241000000,2.02,1.26,1.98,1.37652,0.4,7.29533,1.02,0.99857,7.4296,0.19,1.00014,0.62,14.71793,0.85,6.63442,1.02,14.71462
2023-03-12 07:01:37.976000000,1.63,7.39,2.02,3.57287,1.02,7.4296,0.67,0.9995,4.96157,0.72,0.99857,4.53,14.71462,1.02,4.13194,0.81,12.83633
2023-03-12 07:06:44.595000000,1.97,4.43,1.63,5.21658,0.67,4.96157,1.27,0.99939,6.29961,0.83,0.9995,2.25,12.83633,0.81,6.73651,1.21,12.76659
2023-03-12 07:11:47.535000000,2.07,21.6,1.97,3.35841,1.27,6.29961,1.3,0.99878,8.2094,0.41,0.99939,10.43,12.76659,1.21,3.52173,1.05,15.86189
2023-03-12 07:16:53.130000000,1.87,2.43,2.07,5.56353,1.3,8.2094,0.62,1.00043,5.08729,1.09,0.99878,1.3,15.86189,1.05,9.45657,0.9,10.93076
2023-03-12 07:21:58.992000000,2.24,3.8,1.87,8.74281,0.62,5.08729,1.98,0.99953,10.08969,0.87,1.00043,1.7,10.93076,0.9,11.86831,1.2,18.21675
2023-03-12 07:27:04.518000000,2.28,6.83,2.24,4.04717,1.98,10.08969,1.81,1.00125,18.2401,0.22,0.99953,3.0,18.21675,1.2,4.74158,1.02,32.54342
2023-03-12 07:32:11.166000000,1.67,5.99,2.28,3.08076,1.81,18.2401,0.54,0.9981,9.7713,0.32,1.00125,3.59,32.54342,1.02,3.69813,0.73,24.45908
2023-03-12 07:37:13.648000000,1.95,19.5,1.67,15.48058,0.54,9.7713,1.18,0.99986,11.57825,1.34,0.9981,10.0,24.45908,0.73,16.31663,1.17,23.73625
2023-03-12 07:42:19.360000000,2.28,3.25,1.95,1.71514,1.18,11.57825,1.64,0.99889,19.04032,0.09,0.99986,1.43,23.73625,1.17,2.4791,1.17,33.94377
2023-03-12 07:47:25.890000000,2.2,6.13,2.28,16.87225,1.64,19.04032,0.65,0.99989,12.38138,1.36,0.99889,2.79,33.94377,1.17,20.16038,0.96,22.65805
2023-03-12 07:52:32.406000000,2.06,18.4,2.2,25.83562,0.65,12.38138,1.5,0.99673,18.52324,1.39,0.99989,8.93,22.65805,0.96,27.32293,0.94,35.99599
2023-03-12 07:57:38.607000000,3.19,66.5,2.06,26.54354,1.5,18.52324,1.55,1.00007,28.74767,0.92,0.99673,20.85,35.99599,0.94,26.94861,1.55,41.87131
